time,open,high,low,close,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes
1585774800,1.09608,1.09683,1.08207,1.08548,0,0,0,0,0,0,0
1585861200,1.08548,1.0865,1.0772599999999999,1.08063,0,0,0,0,0,0,0
1586120400,1.081,1.08356,1.07683,1.07919,0,0,0,0,0,0,0
1586206800,1.07919,1.09265,1.07837,1.08913,0,0,0,0,0,0,0
1586293200,1.08913,1.09021,1.08298,1.08565,0,0,0,0,0,0,0
1586379600,1.08565,1.09516,1.0841,1.09287,0,0,0,0,0,0,0
1586466000,1.09287,1.09527,1.09193,1.09318,0,0,0,0,0,0,0
1586725200,1.09494,1.09678,1.08925,1.09062,0,0,0,0,0,0,0
1586811600,1.09062,1.09871,1.0901399999999999,1.09798,0,0,0,0,0,0,0
1586898000,1.09798,1.09909,1.08568,1.09099,0,0,0,0,0,0,0
1586984400,1.09099,1.09112,1.08166,1.08373,0,0,0,0,0,0,0
1587070800,1.08373,1.08925,1.0812,1.08706,0,0,0,0,0,0,0
1587330000,1.0863099999999999,1.08969,1.0841,1.08602,0,0,0,0,0,0,0
1587416400,1.08602,1.08803,1.08165,1.08559,0,0,0,0,0,0,0
1587502800,1.08559,1.08852,1.08032,1.0823,0,0,0,0,0,0,0
1587589200,1.0823,1.08469,1.07559,1.07765,0,0,0,0,0,0,0
1587675600,1.07765,1.08296,1.0727,1.08216,0,0,0,0,0,0,0
1587934800,1.08216,1.08604,1.08112,1.08282,0,0,0,0,0,0,0
1588021200,1.08282,1.08885,1.08095,1.08188,0,0,0,0,0,0,0
1588107600,1.08188,1.08857,1.08171,1.0871,0,0,0,0,0,0,0
1588194000,1.0871,1.09728,1.08329,1.0952,0,0,0,0,0,0,0
1588280400,1.0952,1.10195,1.09345,1.09788,0,0,0,0,0,0,0
1588539600,1.09668,1.0974,1.08957,1.09044,0,0,0,0,0,0,0
1588626000,1.09044,1.0926,1.08259,1.08368,0,0,0,0,0,0,0
1588712400,1.08368,1.0847499999999999,1.0782,1.07925,0,0,0,0,0,0,0
1588798800,1.07925,1.0834,1.0766499999999999,1.08315,0,0,0,0,0,0,0
1588885200,1.08315,1.08758,1.08151,1.0835,0,0,0,0,0,0,0
1589144400,1.08268,1.08505,1.08,1.0806499999999999,0,0,0,0,0,0,0
1589230800,1.0806499999999999,1.08854,1.07843,1.08469,0,0,0,0,0,0,0
1589317200,1.08469,1.08965,1.08116,1.0818,0,0,0,0,0,0,0
1589403600,1.0818,1.0824,1.07748,1.08043,0,0,0,0,0,0,0
1589490000,1.08043,1.08516,1.07889,1.08171,0,0,0,0,0,0,0
1589749200,1.08073,1.0927,1.07997,1.09156,0,0,0,0,0,0,0
1589835600,1.09156,1.09761,1.09022,1.09222,0,0,0,0,0,0,0
1589922000,1.09222,1.09991,1.09187,1.09776,0,0,0,0,0,0,0
1590008400,1.09776,1.1008499999999999,1.09371,1.09483,0,0,0,0,0,0,0
1590094800,1.09483,1.09538,1.08853,1.08986,0,0,0,0,0,0,0
1590354000,1.0893599999999999,1.09145,1.08704,1.08951,0,0,0,0,0,0,0
1590440400,1.08951,1.09958,1.08911,1.09816,0,0,0,0,0,0,0
1590526800,1.09816,1.10309,1.09338,1.10029,0,0,0,0,0,0,0
1590613200,1.10029,1.10936,1.09917,1.10764,0,0,0,0,0,0,0
1590699600,1.10764,1.11452,1.10677,1.1101,0,0,0,0,0,0,0
1590958800,1.11151,1.11541,1.11005,1.11347,0,0,0,0,0,0,0
1591045200,1.11347,1.11962,1.11152,1.11692,0,0,0,0,0,0,0
1591131600,1.11692,1.12579,1.11666,1.12331,0,0,0,0,0,0,0
1591218000,1.12331,1.13626,1.11946,1.13378,0,0,0,0,0,0,0
